model,release_year,screen_size_inches,price_usd,base_storage_gb,advertised_launch_price_usd,price_basis,notes,specification_source_url,price_source_url,inner_screen_size_inches,outer_screen_size_inches,form_factor,announcement_date,scheduled_release_date,release_status,status_as_of,price_source_publisher,price_source_type,price_source_note,price_verification_status,price_source_checked_on,advertised_launch_price_source_url,advertised_price_source_publisher,advertised_price_verification_status,pricing_conditions_source_url,pricing_conditions_source_note
iPhone 16,2024,6.1,799,128,799,full_device_with_activation_discount,Apple-advertised starting price includes a $30 carrier-activation/connectivity discount; not the SIM-free price.,https://www.apple.com/newsroom/2024/09/apple-introduces-iphone-16-and-iphone-16-plus/,https://www.apple.com/newsroom/2024/09/apple-introduces-iphone-16-and-iphone-16-plus/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2024/09/apple-introduces-iphone-16-and-iphone-16-plus/,Apple,verified_primary_source,https://www.apple.com/iphone/compare/,"Launch amount verified in the launch release. The existing $30 discount flag is retained. The live comparison footnote confirms the discount for iPhone 16, but does not independently establish historical Plus terms."
iPhone 16 Plus,2024,6.7,899,128,899,full_device_with_activation_discount,Apple-advertised starting price includes a $30 carrier-activation/connectivity discount; not the SIM-free price.,https://www.apple.com/newsroom/2024/09/apple-introduces-iphone-16-and-iphone-16-plus/,https://www.apple.com/newsroom/2024/09/apple-introduces-iphone-16-and-iphone-16-plus/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2024/09/apple-introduces-iphone-16-and-iphone-16-plus/,Apple,verified_primary_source,https://www.apple.com/iphone/compare/,"Launch amount verified in the launch release. The existing $30 discount flag is retained. The live comparison footnote confirms the discount for iPhone 16, but does not independently establish historical Plus terms."
iPhone 16 Pro,2024,6.3,999,128,999,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2024/09/apple-debuts-iphone-16-pro-and-iphone-16-pro-max/,https://www.apple.com/newsroom/2024/09/apple-debuts-iphone-16-pro-and-iphone-16-pro-max/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2024/09/apple-debuts-iphone-16-pro-and-iphone-16-pro-max/,Apple,verified_primary_source,,
iPhone 16 Pro Max,2024,6.9,1199,256,1199,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2024/09/apple-debuts-iphone-16-pro-and-iphone-16-pro-max/,https://www.apple.com/newsroom/2024/09/apple-debuts-iphone-16-pro-and-iphone-16-pro-max/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 256GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2024/09/apple-debuts-iphone-16-pro-and-iphone-16-pro-max/,Apple,verified_primary_source,,
iPhone 16e,2025,6.1,599,128,599,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2025/02/apple-debuts-iphone-16e-a-powerful-new-member-of-the-iphone-16-family/,https://www.apple.com/newsroom/2025/02/apple-debuts-iphone-16e-a-powerful-new-member-of-the-iphone-16-family/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 128GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2025/02/apple-debuts-iphone-16e-a-powerful-new-member-of-the-iphone-16-family/,Apple,verified_primary_source,,
iPhone 17,2025,6.3,799,256,799,full_device_with_activation_discount,Apple-advertised starting price includes a $30 carrier-activation/connectivity discount; not the SIM-free price.,https://www.apple.com/newsroom/2025/09/apple-debuts-iphone-17/,https://www.apple.com/newsroom/2025/09/apple-debuts-iphone-17/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 256GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2025/09/apple-debuts-iphone-17/,Apple,verified_primary_source,https://www.apple.com/newsroom/2025/09/apple-debuts-iphone-17/,The launch-source pricing footnote includes a $30 carrier activation or connectivity discount; this is not the connect-later price.
iPhone Air,2025,6.5,999,256,999,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2025/09/introducing-iphone-air-a-powerful-new-iphone-with-a-breakthrough-design/,https://www.apple.com/newsroom/2025/09/introducing-iphone-air-a-powerful-new-iphone-with-a-breakthrough-design/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 256GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2025/09/introducing-iphone-air-a-powerful-new-iphone-with-a-breakthrough-design/,Apple,verified_primary_source,,
iPhone 17 Pro,2025,6.3,1099,256,1099,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2025/09/apple-unveils-iphone-17-pro-and-iphone-17-pro-max/,https://www.apple.com/newsroom/2025/09/apple-unveils-iphone-17-pro-and-iphone-17-pro-max/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 256GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2025/09/apple-unveils-iphone-17-pro-and-iphone-17-pro-max/,Apple,verified_primary_source,,
iPhone 17 Pro Max,2025,6.9,1199,256,1199,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2025/09/apple-unveils-iphone-17-pro-and-iphone-17-pro-max/,https://www.apple.com/newsroom/2025/09/apple-unveils-iphone-17-pro-and-iphone-17-pro-max/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 256GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2025/09/apple-unveils-iphone-17-pro-and-iphone-17-pro-max/,Apple,verified_primary_source,,
iPhone 17e,2026,6.1,599,256,599,advertised_full_device,Apple-advertised US starting price for the lowest storage capacity available at initial launch.,https://www.apple.com/newsroom/2026/03/apple-introduces-iphone-17e/,https://www.apple.com/newsroom/2026/03/apple-introduces-iphone-17e/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 256GB base configuration.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2026/03/apple-introduces-iphone-17e/,Apple,verified_primary_source,,
iPhone 18 Pro,2026,6.3,1199,256,1199,advertised_full_device,"Announced September 9, 2026; not yet released as of September 14, 2026. US availability scheduled for 2026-09-18. Base 256GB US advertised price before sales tax. Pre-orders began September 12, 2026.",https://www.apple.com/iphone-18-pro/specs/,https://www.apple.com/newsroom/2026/09/apple-debuts-iphone-18-pro-and-iphone-18-pro-max/,,,slate,2026-09-09,2026-09-18,announced_unreleased,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 256GB base configuration. Announced price; the device was not yet released on the check date.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2026/09/apple-debuts-iphone-18-pro-and-iphone-18-pro-max/,Apple,verified_primary_source,,
iPhone 18 Pro Max,2026,6.9,1299,256,1299,advertised_full_device,"Announced September 9, 2026; not yet released as of September 14, 2026. US availability scheduled for 2026-09-18. Base 256GB US advertised price before sales tax. Pre-orders began September 12, 2026.",https://www.apple.com/iphone-18-pro/specs/,https://www.apple.com/newsroom/2026/09/apple-debuts-iphone-18-pro-and-iphone-18-pro-max/,,,slate,2026-09-09,2026-09-18,announced_unreleased,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 256GB base configuration. Announced price; the device was not yet released on the check date.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2026/09/apple-debuts-iphone-18-pro-and-iphone-18-pro-max/,Apple,verified_primary_source,,
iPhone Duo,2026,7.6,1999,256,1999,advertised_full_device,"Announced September 9, 2026; not yet released as of September 14, 2026. US availability scheduled for 2026-10-23. Base 256GB US advertised price before sales tax. screen_size_inches uses the 7.6-inch unfolded inner display; outer display is 5.4 inches. One row per device, not per screen. Pre-orders begin October 16, 2026.",https://www.apple.com/iphone-duo/specs/,https://www.apple.com/newsroom/2026/09/apple-unveils-iphone-duo/,7.6,5.4,foldable,2026-09-09,2026-10-23,announced_unreleased,2026-09-14,Apple,primary_manufacturer,U.S. starting price for the 256GB base configuration. Announced price; the device was not yet released on the check date.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2026/09/apple-unveils-iphone-duo/,Apple,verified_primary_source,,
